"","provenance","created_at","user_id","screen_name","hi_text","en_text","source","favorite_count","retweet_count","hashtags","place_name","country_code","query","is_retweet","UID","country","hits"
"1","API","2019-03-25 14:02:33",142023476,"dilipjain1979","गांव वालो अगर राहुल गाँधी PM बनता है तो स्वच्छता, शौचालय, सस्ता बिमा, मुफ्त में चिकित्सा आयुष्मान भारत, सड़के, अटल पेंशन योजना, 20-24 घंटे बिजली, मुद्रा योजना, Soil Health Card, वगैर लाठी खाये यूरिया खाद, जैसी तमाम सरकारी सुविधाएं रुक जाएगी और सिर्फ मिलेगा 72000 सालाना","If the Rahul Gandhi becomes PM, then cleanliness, toilet, cheaper insurance, medical age for free India, roads, Atal Pension Scheme, 20-24 hours electricity, money scheme, Soil Health Card, etc. Facilities will stop and get only 72000 annually","Twitter Web Client",5,2,"",NA,NA,"soil health",FALSE,567,NA,"soil health"
"2","API","2019-03-25 14:12:52",142023476,"dilipjain1979","अगर राहुल गाँधी PM बनता है तो स्वच्छता, शौचालय, सस्ता बिमा, मुफ्त चिकित्सा आयुष्मान भारत, सड़के, अटल पेंशन योजना, 20-24 घंटे बिजली, मुद्रा योजना, Soil Health Card, वगैर लाठी खाये यूरिया खाद, जैसी तमाम सरकारी सुविधाएं रुक जाएगी और सिर्फ मिलेगा 72000 सालाना
https://t.co/P9ogbKVR9f","If Rahul Gandhi becomes PM, then all government facilities like cleanliness, toilets, cheap insurance, free medical Ayushman India, Roads, Atal Pension Scheme, 20-24 Hours Electricity, Money Planning, Soil Health Card, etc. will be stopped. And only get 72000 annually https://t.co/P9ogbKVR9f","Twitter for Android",3,3,"",NA,NA,"soil health",FALSE,569,NA,"soil health"
"3","API","2019-03-31 10:14:55",2908502012,"vishalksang","@vk000134 @amityadavamit @RishiMishra_ 16. Soil health के लिए 2001-02 से योजना चल रही है। मोदी continue कर रहा है।","@ vk000134 @amityadavamit @RishiMishra_ 16. Scheme for Soil Health 2001-02 is in progress. Modi is continuing.","Twitter for Android",0,0,"",NA,NA,"soil health",FALSE,615,NA,"soil health"
"4","API","2019-03-29 03:31:58",143697203,"Ankit_0512","@Sumitsi86182086 @kushbansal अरे काका, आप सिर्फ सवाल ही पूछोगे या अच्छे नागरिक बनकर ये पता लगाओगे की उस वक़्त क्या किया होता कि गरीबी हट चुकी होती। 
मुझे तो पता हैं की गैस की टंकी, घर में शौचालय, soil health card, neem coated urea etc ये सब काम किये होते तो गरीबी हट जाती। 
आप भी पता करो क्या गड़बड़ की थी।","@ Sumitsi86182086 @kushbansal Hey Kaka, you will only ask questions or become a good citizen to find out what would have happened if poverty had left. I know that the poverty tank will be removed if the gas tank, the house toilet, the soil health card, neem coated urea etc. have done all this work. You also find out what was wrong.","Twitter for Android",1,0,"",NA,NA,"soil health",FALSE,1014,NA,"soil health"
"5","API","2019-03-25 07:47:18",1004752719700062208,"DipantoS","Reforms in #agricultural and #food #processing under @narendramodi 
1. प्रधानमंत्री फसल बीमा योजना
2. Soil health card scheme
3. प्रधानमंत्री कृषि सिंचाई योजना
4. Neem coating of urea
5. नेशनल एग्रीकल्चर मार्केट E-NAM
6. Integrated horticulture mission
7. SAMPADA 
8. FDI upto 💯","Reforms in #agricultural and #food #processing under @narendramodi 1. Prime Minister's Crop Insurance Scheme 2. Soil health card scheme 3. Prime Minister's Agriculture Irrigation Scheme 4. Neem coating of urea 5. National Agricultural Market E-NAM6. Integrated Horticulture Mission 7. SAMPADA 8. FDI upto ð","Twitter for Android",3,0,"agricultural|food|processing",NA,NA,"soil health",FALSE,1623,NA,"soil health"
"6","API","2019-04-18 12:59:54",981552997854531584,"OnkarSinghKhai5","@ramanmann1974 @Devinder_Sharma @parthpunter @mkvenu1 @AdityaMenon22 @waglenikhil @GauravPandhi @RURALINDIA @_YogendraYadav @nit_set #कर्जदार_किसान 
 can be a big scandal of Modi government ? 
''soil health card''for farmers.","@ ramanmann1974 @Devinder_Sharma @parthpunter @ mkvenu1 @ AdityaMenon22 @waglenikhil @GauravPandhi @RURALINDIA @_YogendraYadav @nit_set # Debtor_Kisan Can a big scandal of Modi government? 'soil health card' for farmers","Twitter for Android",0,0,"कर्जदार_किसान",NA,NA,"soil health",FALSE,10612,NA,"soil health"
"7","API","2019-04-17 07:36:06",1041383819574759424,"Rajeevindore2","#समग्रविकासकिसान ।
💐मृदा स्‍वास्‍थ्‍य कार्ड योजना | Soil Health Card Yojana","#Complimentary calculations ðЯТР Soil Health Card Plan | Soil Health Card Yoj","Twitter for Android",0,0,"समग्रविकासकिसान",NA,NA,"soil health",FALSE,11129,NA,"soil health"
"8","API","2019-04-28 10:03:31",4696859538,"deven94123","किसानों की आय दोगुना करने के लिए, यूरिया के नीम कोटिकरण, फसल बीमा, सम्मान निधि, सौर ऊर्जा प्रोत्साहन, सिंचाई के लिए नदियों को जोड़ने की योजना।
Record No. of Soil Health Card, Many Soil health research centres to help Farmers to select right crop for their fields.@RadhamohanBJP","In order to double the income of farmers, the scheme for linking rivers for neem encroachment of urea, crop insurance, respect fund, solar power incentive, irrigation. Record Number of Soil Health Card, Many Soil Health Research Centers to help farmers for their crops. @ RadhamohanBJP","Twitter for Android",0,0,"",NA,NA,"soil health",FALSE,15797,NA,"soil health;soil health"
"9","API","2019-04-23 06:48:16",1084680105970913280,"Ratul47164280","পাবনায় নবায়নকৃত উপজেলা ভূমি ও মৃত্তিকা সম্পদ বিষয়ক কর্মশালা অনুষ্ঠিত। PABNA SOIL HEALTH TRAING
https://t.co/kSi1r2YPCG https://t.co/rLNrBVlsG3","In Pabna, workshop on renewable upazila land and soil resources was held.PABNA SOIL HEALTH TRAING https://t.co/kSi1r2YPCG https://t.co/rLNrBVlsG3","Twitter Web App",0,0,"",NA,NA,"soil health",FALSE,16705,NA,"soil health"
"10","API","2019-04-22 00:50:42",3226146452,"Ishulidhure","Soil health card  वाटून 2/3 वर्ष झालेत पण त्याच काय करावं हे शेतकऱ्यांना कळत नाहीए. कृषी विभाग डोळे मिटून आहे.","Soil health card has been divided for 2/3 years but farmers do not know what to do. The agriculture department has disappeared.","Facebook",0,0,"",NA,NA,"soil health",FALSE,16896,NA,"soil health"
"11","API","2019-04-07 17:18:11",2423185130,"Sahu_Ank","रही बात किसानों की बहुत सारे स्कीम है soil health card, नीम कोटेड यूरिया,income support। ये किसानों के ही है। नीम कोटेड यूरिया से आपका दुकान पे टाला लग गया न। @DhananjayPutush @dasraghubar @CPChoudharyAJSU @SudeshMahtoAJSU @ajsupartyjh @BJP4Jharkhand","There is a lot of scheme for farmers, soil health card, neem coated urea, income support. This is only for the farmers.Neem-coated urea has not stopped your store. @DhananjayPutush @dasraghubar @CPChoudharyAJSU @SudeshMahtoAJSU @ajsupartyjh @ BJP4Jharkhand","Twitter for Android",0,0,"",NA,NA,"soil health",FALSE,21127,NA,"soil health"
"12","API","2019-04-07 09:50:41",1061538635164479488,"Deepram06201140","@iRajeshBJP @narendra @jairamthakurbjp @BJYM @KapilParmar @BJYMinHP @PavanRanaRSS @dhruvwadhwa मोदी सरकार किसानों को Soil Health Card दे रही है जिससे किसानों को मिट्टी की गुणवत्ता का अध्ययन करके एक अच्छी फ़सल प्राप्त करने में सहायता मिल रही है 
@narendra modi @JairamthakurBJP @BJYM @kapilparmar @BJYMInHP @pavanranaRSS @Dhruvwadhwa
#हिमाचलजीतेगफिर4की4","@iRajeshBJP @narendra @jairamthakurbjp @BJYM @KapilParmar @BJYMinHP @PavanRanaRSS @dhruvwadhwa Modi government is giving Soil Health Card to the farmers so that farmers are getting help in getting a good crop by studying the quality of soil. @narendra modi @JairamthakurBJP @BJYM @kapilparmar @BJYMInHP @pavanranaRSS @Dhruvwadhwa #HmachalGefef 4K4","Twitter for Android",1,1,"हिमाचलजीतेगफिर4की4",NA,NA,"soil health",FALSE,21207,NA,"soil health"
"13","API","2019-04-07 09:16:23",1092784382635429888,"VinodTh37707629","मोदी सरकार किसानों को Soil Health Card दे रही है जिससे किसानों को मिट्टी की गुणवत्ता का अध्ययन करके एक अच्छी फ़सल प्राप्त करने में सहायता मिल रही है 
#हिमाचलजीतेगाफिर4की4","The Modi government is giving Soil Health Card to the farmers so that the farmers are getting help in acquiring a good crop by studying soil quality. #HmachalGetGaffe 4K4","Twitter for Android",0,0,"हिमाचलजीतेगाफिर4की4","Shimla","IN","soil health",FALSE,21214,"India","soil health"
